file_name,s3_key,file_format,file_size_bytes,last_modified,file_url
JC-201808-citibike-tripdata.csv.zip,JC-201808-citibike-tripdata.csv.zip,zip,1165898,2018-09-12T18:58:07.000Z,https://s3.amazonaws.com/tripdata/JC-201808-citibike-tripdata.csv.zip
JC-201809-citibike-tripdata.csv.zip,JC-201809-citibike-tripdata.csv.zip,zip,1029196,2018-10-03T18:48:13.000Z,https://s3.amazonaws.com/tripdata/JC-201809-citibike-tripdata.csv.zip
JC-201810-citibike-tripdata.csv.zip,JC-201810-citibike-tripdata.csv.zip,zip,1025727,2018-11-07T19:44:39.000Z,https://s3.amazonaws.com/tripdata/JC-201810-citibike-tripdata.csv.zip
JC-201811-citibike-tripdata.csv.zip,JC-201811-citibike-tripdata.csv.zip,zip,655752,2018-12-04T16:27:38.000Z,https://s3.amazonaws.com/tripdata/JC-201811-citibike-tripdata.csv.zip
JC-201812-citibike-tripdata.csv.zip,JC-201812-citibike-tripdata.csv.zip,zip,533878,2019-01-08T20:51:15.000Z,https://s3.amazonaws.com/tripdata/JC-201812-citibike-tripdata.csv.zip
JC-201901-citibike-tripdata.csv.zip,JC-201901-citibike-tripdata.csv.zip,zip,517665,2019-02-11T14:43:41.000Z,https://s3.amazonaws.com/tripdata/JC-201901-citibike-tripdata.csv.zip
JC-201902-citibike-tripdata.csv.zip,JC-201902-citibike-tripdata.csv.zip,zip,491166,2019-03-04T16:21:48.000Z,https://s3.amazonaws.com/tripdata/JC-201902-citibike-tripdata.csv.zip
JC-201903-citibike-tripdata.csv.zip,JC-201903-citibike-tripdata.csv.zip,zip,623509,2019-04-15T18:34:52.000Z,https://s3.amazonaws.com/tripdata/JC-201903-citibike-tripdata.csv.zip
JC-201904-citibike-tripdata.csv.zip,JC-201904-citibike-tripdata.csv.zip,zip,867370,2019-05-06T19:07:33.000Z,https://s3.amazonaws.com/tripdata/JC-201904-citibike-tripdata.csv.zip
JC-201905-citibike-tripdata.csv.zip,JC-201905-citibike-tripdata.csv.zip,zip,931693,2019-06-11T19:37:55.000Z,https://s3.amazonaws.com/tripdata/JC-201905-citibike-tripdata.csv.zip
JC-201906-citibike-tripdata.csv.zip,JC-201906-citibike-tripdata.csv.zip,zip,1018935,2019-07-15T17:42:09.000Z,https://s3.amazonaws.com/tripdata/JC-201906-citibike-tripdata.csv.zip
JC-201907-citibike-tripdata.csv.zip,JC-201907-citibike-tripdata.csv.zip,zip,1131502,2019-08-05T21:34:01.000Z,https://s3.amazonaws.com/tripdata/JC-201907-citibike-tripdata.csv.zip
JC-201908-citibike-tripdata.csv.zip,JC-201908-citibike-tripdata.csv.zip,zip,1258122,2019-09-18T20:33:15.000Z,https://s3.amazonaws.com/tripdata/JC-201908-citibike-tripdata.csv.zip
JC-201909-citibike-tripdata.csv.zip,JC-201909-citibike-tripdata.csv.zip,zip,1271064,2019-10-11T19:42:04.000Z,https://s3.amazonaws.com/tripdata/JC-201909-citibike-tripdata.csv.zip
JC-201910-citibike-tripdata.csv.zip,JC-201910-citibike-tripdata.csv.zip,zip,1091154,2019-11-05T22:10:56.000Z,https://s3.amazonaws.com/tripdata/JC-201910-citibike-tripdata.csv.zip
JC-201911-citibike-tripdata.csv.zip,JC-201911-citibike-tripdata.csv.zip,zip,799781,2019-12-20T18:44:56.000Z,https://s3.amazonaws.com/tripdata/JC-201911-citibike-tripdata.csv.zip
JC-201912-citibike-tripdata.csv.zip,JC-201912-citibike-tripdata.csv.zip,zip,517583,2020-01-21T21:23:33.000Z,https://s3.amazonaws.com/tripdata/JC-201912-citibike-tripdata.csv.zip
JC-202001-citibike-tripdata.csv.zip,JC-202001-citibike-tripdata.csv.zip,zip,679086,2020-02-04T19:05:47.000Z,https://s3.amazonaws.com/tripdata/JC-202001-citibike-tripdata.csv.zip
JC-202002-citibike-tripdata.csv.zip,JC-202002-citibike-tripdata.csv.zip,zip,599276,2020-03-24T20:07:53.000Z,https://s3.amazonaws.com/tripdata/JC-202002-citibike-tripdata.csv.zip
JC-202003-citibike-tripdata.csv.zip,JC-202003-citibike-tripdata.csv.zip,zip,465329,2020-04-17T23:58:04.000Z,https://s3.amazonaws.com/tripdata/JC-202003-citibike-tripdata.csv.zip
JC-202004-citibike-tripdata.csv.zip,JC-202004-citibike-tripdata.csv.zip,zip,246177,2020-05-27T00:18:16.000Z,https://s3.amazonaws.com/tripdata/JC-202004-citibike-tripdata.csv.zip
JC-202005-citibike-tripdata.csv.zip,JC-202005-citibike-tripdata.csv.zip,zip,655725,2020-06-05T16:09:40.000Z,https://s3.amazonaws.com/tripdata/JC-202005-citibike-tripdata.csv.zip
JC-202006-citibike-tripdata.csv.zip,JC-202006-citibike-tripdata.csv.zip,zip,968484,2020-07-06T00:37:53.000Z,https://s3.amazonaws.com/tripdata/JC-202006-citibike-tripdata.csv.zip
JC-202007-citibike-tripdata.csv.zip,JC-202007-citibike-tripdata.csv.zip,zip,1017946,2020-08-12T02:13:32.000Z,https://s3.amazonaws.com/tripdata/JC-202007-citibike-tripdata.csv.zip
JC-202008-citibike-tripdata.csv.zip,JC-202008-citibike-tripdata.csv.zip,zip,1137151,2020-09-04T19:37:33.000Z,https://s3.amazonaws.com/tripdata/JC-202008-citibike-tripdata.csv.zip
JC-202009-citibike-tripdata.csv.zip,JC-202009-citibike-tripdata.csv.zip,zip,1419708,2020-10-13T19:56:03.000Z,https://s3.amazonaws.com/tripdata/JC-202009-citibike-tripdata.csv.zip
JC-202010-citibike-tripdata.csv.zip,JC-202010-citibike-tripdata.csv.zip,zip,798066,2020-11-04T14:51:11.000Z,https://s3.amazonaws.com/tripdata/JC-202010-citibike-tripdata.csv.zip
JC-202011-citibike-tripdata.csv.zip,JC-202011-citibike-tripdata.csv.zip,zip,569245,2020-12-04T23:26:04.000Z,https://s3.amazonaws.com/tripdata/JC-202011-citibike-tripdata.csv.zip
JC-202012-citibike-tripdata.csv.zip,JC-202012-citibike-tripdata.csv.zip,zip,315012,2021-01-05T14:25:45.000Z,https://s3.amazonaws.com/tripdata/JC-202012-citibike-tripdata.csv.zip
JC-202101-citibike-tripdata.csv.zip,JC-202101-citibike-tripdata.csv.zip,zip,313806,2021-02-08T15:11:26.000Z,https://s3.amazonaws.com/tripdata/JC-202101-citibike-tripdata.csv.zip
JC-202102-citibike-tripdata.csv.zip,JC-202102-citibike-tripdata.csv.zip,zip,145668,2021-06-11T17:23:13.000Z,https://s3.amazonaws.com/tripdata/JC-202102-citibike-tripdata.csv.zip
JC-202103-citibike-tripdata.csv.zip,JC-202103-citibike-tripdata.csv.zip,zip,473774,2021-06-11T17:23:13.000Z,https://s3.amazonaws.com/tripdata/JC-202103-citibike-tripdata.csv.zip
JC-202104-citibike-tripdata.csv.zip,JC-202104-citibike-tripdata.csv.zip,zip,650251,2021-06-11T17:23:14.000Z,https://s3.amazonaws.com/tripdata/JC-202104-citibike-tripdata.csv.zip
JC-202105-citibike-tripdata.csv.zip,JC-202105-citibike-tripdata.csv.zip,zip,1251415,2021-06-11T17:23:16.000Z,https://s3.amazonaws.com/tripdata/JC-202105-citibike-tripdata.csv.zip
JC-202106-citibike-tripdata.csv.zip,JC-202106-citibike-tripdata.csv.zip,zip,2040770,2022-04-07T19:28:48.000Z,https://s3.amazonaws.com/tripdata/JC-202106-citibike-tripdata.csv.zip
JC-202107-citibike-tripdata.csv.zip,JC-202107-citibike-tripdata.csv.zip,zip,2433412,2022-04-07T19:28:49.000Z,https://s3.amazonaws.com/tripdata/JC-202107-citibike-tripdata.csv.zip
JC-202108-citibike-tripdata.csv.zip,JC-202108-citibike-tripdata.csv.zip,zip,2741053,2022-04-07T19:28:50.000Z,https://s3.amazonaws.com/tripdata/JC-202108-citibike-tripdata.csv.zip
JC-202109-citibike-tripdata.csv.zip,JC-202109-citibike-tripdata.csv.zip,zip,2838400,2022-04-07T19:28:51.000Z,https://s3.amazonaws.com/tripdata/JC-202109-citibike-tripdata.csv.zip
JC-202110-citibike-tripdata.csv.zip,JC-202110-citibike-tripdata.csv.zip,zip,2599580,2022-04-07T19:28:52.000Z,https://s3.amazonaws.com/tripdata/JC-202110-citibike-tripdata.csv.zip
JC-202111-citibike-tripdata.csv.zip,JC-202111-citibike-tripdata.csv.zip,zip,1690220,2022-04-07T19:28:53.000Z,https://s3.amazonaws.com/tripdata/JC-202111-citibike-tripdata.csv.zip
JC-202112-citibike-tripdata.csv.zip,JC-202112-citibike-tripdata.csv.zip,zip,1428830,2022-04-07T19:28:54.000Z,https://s3.amazonaws.com/tripdata/JC-202112-citibike-tripdata.csv.zip
JC-202201-citibike-tripdata.csv.zip,JC-202201-citibike-tripdata.csv.zip,zip,761399,2022-04-07T19:28:55.000Z,https://s3.amazonaws.com/tripdata/JC-202201-citibike-tripdata.csv.zip
JC-202202-citibike-tripdata.csv.zip,JC-202202-citibike-tripdata.csv.zip,zip,941223,2022-04-07T19:28:55.000Z,https://s3.amazonaws.com/tripdata/JC-202202-citibike-tripdata.csv.zip
JC-202203-citibike-tripdata.csv.zip,JC-202203-citibike-tripdata.csv.zip,zip,1483922,2022-04-06T17:11:46.000Z,https://s3.amazonaws.com/tripdata/JC-202203-citibike-tripdata.csv.zip
JC-202204-citibike-tripdata.csv.zip,JC-202204-citibike-tripdata.csv.zip,zip,1846802,2022-05-03T16:38:33.000Z,https://s3.amazonaws.com/tripdata/JC-202204-citibike-tripdata.csv.zip
JC-202205-citibike-tripdata.csv.zip,JC-202205-citibike-tripdata.csv.zip,zip,2338499,2022-06-04T02:19:12.000Z,https://s3.amazonaws.com/tripdata/JC-202205-citibike-tripdata.csv.zip
JC-202206-citibike-tripdata.csv.zip,JC-202206-citibike-tripdata.csv.zip,zip,3049187,2022-07-15T15:33:12.000Z,https://s3.amazonaws.com/tripdata/JC-202206-citibike-tripdata.csv.zip
JC-202207-citbike-tripdata.csv.zip,JC-202207-citbike-tripdata.csv.zip,zip,3244301,2022-08-04T17:17:51.000Z,https://s3.amazonaws.com/tripdata/JC-202207-citbike-tripdata.csv.zip
JC-202208-citibike-tripdata.csv.zip,JC-202208-citibike-tripdata.csv.zip,zip,3383290,2022-09-08T22:29:34.000Z,https://s3.amazonaws.com/tripdata/JC-202208-citibike-tripdata.csv.zip
JC-202209-citibike-tripdata.csv.zip,JC-202209-citibike-tripdata.csv.zip,zip,3378664,2022-10-11T16:55:32.000Z,https://s3.amazonaws.com/tripdata/JC-202209-citibike-tripdata.csv.zip
JC-202210-citibike-tripdata.csv.zip,JC-202210-citibike-tripdata.csv.zip,zip,2936981,2022-11-08T23:00:25.000Z,https://s3.amazonaws.com/tripdata/JC-202210-citibike-tripdata.csv.zip
JC-202211-citibike-tripdata.csv.zip,JC-202211-citibike-tripdata.csv.zip,zip,2297919,2022-12-05T20:35:28.000Z,https://s3.amazonaws.com/tripdata/JC-202211-citibike-tripdata.csv.zip
JC-202212-citibike-tripdata.csv.zip,JC-202212-citibike-tripdata.csv.zip,zip,1669840,2023-01-03T20:39:20.000Z,https://s3.amazonaws.com/tripdata/JC-202212-citibike-tripdata.csv.zip
JC-202301-citibike-tripdata.csv.zip,JC-202301-citibike-tripdata.csv.zip,zip,1864344,2023-02-07T20:26:25.000Z,https://s3.amazonaws.com/tripdata/JC-202301-citibike-tripdata.csv.zip
JC-202302-citibike-tripdata.csv.zip,JC-202302-citibike-tripdata.csv.zip,zip,1739162,2023-03-07T23:00:25.000Z,https://s3.amazonaws.com/tripdata/JC-202302-citibike-tripdata.csv.zip
JC-202303-citibike-tripdata.csv.zip,JC-202303-citibike-tripdata.csv.zip,zip,2012073,2023-04-06T20:21:26.000Z,https://s3.amazonaws.com/tripdata/JC-202303-citibike-tripdata.csv.zip
JC-202304-citibike-tripdata.csv.zip,JC-202304-citibike-tripdata.csv.zip,zip,2519340,2023-05-04T19:47:42.000Z,https://s3.amazonaws.com/tripdata/JC-202304-citibike-tripdata.csv.zip
JC-202305-citibike-tripdata.csv.zip,JC-202305-citibike-tripdata.csv.zip,zip,3220438,2023-06-08T22:32:15.000Z,https://s3.amazonaws.com/tripdata/JC-202305-citibike-tripdata.csv.zip
JC-202306-citibike-tripdata.csv.zip,JC-202306-citibike-tripdata.csv.zip,zip,3334811,2023-07-13T21:25:34.000Z,https://s3.amazonaws.com/tripdata/JC-202306-citibike-tripdata.csv.zip
JC-202307-citibike-tripdata.csv.zip,JC-202307-citibike-tripdata.csv.zip,zip,3477609,2023-08-14T12:31:27.000Z,https://s3.amazonaws.com/tripdata/JC-202307-citibike-tripdata.csv.zip
JC-202308-citibike-tripdata.csv.zip,JC-202308-citibike-tripdata.csv.zip,zip,3945921,2023-10-12T05:37:55.000Z,https://s3.amazonaws.com/tripdata/JC-202308-citibike-tripdata.csv.zip
JC-202309-citibike-tripdata.csv.zip,JC-202309-citibike-tripdata.csv.zip,zip,3195689,2023-10-12T05:37:55.000Z,https://s3.amazonaws.com/tripdata/JC-202309-citibike-tripdata.csv.zip
JC-202310-citibike-tripdata.csv.zip,JC-202310-citibike-tripdata.csv.zip,zip,3274658,2023-11-13T16:42:37.000Z,https://s3.amazonaws.com/tripdata/JC-202310-citibike-tripdata.csv.zip
JC-202311-citibike-tripdata.csv.zip,JC-202311-citibike-tripdata.csv.zip,zip,2764396,2023-12-05T21:21:57.000Z,https://s3.amazonaws.com/tripdata/JC-202311-citibike-tripdata.csv.zip
JC-202312-citibike-tripdata.csv.zip,JC-202312-citibike-tripdata.csv.zip,zip,2083442,2024-01-04T19:51:57.000Z,https://s3.amazonaws.com/tripdata/JC-202312-citibike-tripdata.csv.zip
